video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"_sK_6lu9DIc","Try the all-new Domino’s #DriveAndPick","2021-01-18T07:49:44Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2021-01-18T07:49:44Z","[none]","4704","105","8","12","https://i.ytimg.com/vi/_sK_6lu9DIc/default.jpg","False","False","Giving you the perfect reason to go for a Drive. Introducing Domino\'s Drive-N-Pick, that you can avail exclusively on the Domino\'s App.Here\'s how to opt for the service:Step 1: Open the Domino\'s App and choose the Takeaway OptionStep 2: Choose the nearest store, opt for Drive-N-Pick and enter your vehicle detailsStep 3: You can opt for Drive-N-Pick now or for later by choosing Advance OrderingStep 4: Reach the designated pick up spot of your store and click the \'I Am Here\' buttonStep 5: Enjoy your hot and fresh delight from the store to your car door.Zero Waiting | Zero Contact | Zero Delivery ChargeDownload the App Now: http://bit.ly/3inxJBbDomino\'s #DriveAndPick"']
['"Ig1ZLh8vRV8","Introducing Domino’s #DriveAndPick","2021-01-18T05:41:01Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2021-01-18T05:41:01Z","[none]","2130764","220","10","19","https://i.ytimg.com/vi/Ig1ZLh8vRV8/default.jpg","False","False","What if we tell you that your favourite Domino\'s Pizza can be delivered straight from our store while you conveniently stay in your car? Introducing Domino\'s Drive-N-Pick, that you can avail exclusively on the Domino\'s App. Here\'s how to opt for the service:Step 1: Open the Domino\'s App and Select Drive N Pick.Step 2: Choose the nearest store and enter your vehicle details.Step 3: You can opt for Drive-N-Pick now or for later by choosing Advance OrderingStep 4: Reach the designated pick up spot of your store and click the \'I Am Here\' buttonStep 5: Enjoy your hot and fresh delight from our store to your car.Zero Waiting | Zero Contact | Zero Delivery ChargeDownload the Domino\'s App now: http://bit.ly/3inxJBb"']
['"ckZKYmPN-Fk","Choose Any 2 Pizzas & Get Up To 40% off","2020-12-17T15:38:01Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2020-12-17T15:38:01Z","[none]","6663","110","12","15","https://i.ytimg.com/vi/ckZKYmPN-Fk/default.jpg","False","False",""']
['"uOHvKqpn-w8","Choose Any 2 Pizzas & Get Up To 40% off","2020-12-11T13:47:06Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2020-12-11T13:47:06Z","[none]","7700","110","9","6","https://i.ytimg.com/vi/uOHvKqpn-w8/default.jpg","False","False",""']
['"oSWfYzIr-hY","40% Off with No Minimum Order Value","2020-11-26T07:46:42Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2020-11-26T07:46:42Z","[none]","16726","195","21","6","https://i.ytimg.com/vi/oSWfYzIr-hY/default.jpg","False","False","Big or Small, we deliver all. Order your favorite pizzas and sides from the with No Minimum Order Value. Enjoy Flat 40% OFF on your order, only on the Domino\'s App.Use Code : NOMOV100"']
['"GWthi9sQ7Jk","डोमिनोज़ ऐप अब हिंदी में भी","2020-11-26T07:01:31Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2020-11-26T07:01:31Z","[none]","3589","30","1","2","https://i.ytimg.com/vi/GWthi9sQ7Jk/default.jpg","False","False","डोमिनोज़ ऐप अभी डाउनलोड करे और 40% तक की छूट पाएं।कूपन कोड: NOMOV100"']
['"_wJNTLRJClg","No Minimum Order Value on the Cheesy Margherita Pizza.","2020-11-19T11:17:49Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2020-11-19T11:17:49Z","[none]","13787","90","13","0","https://i.ytimg.com/vi/_wJNTLRJClg/default.jpg","False","False","Cheesy Therapy for small hunger pangs! Order your favourite Domino\'s Margherita Pizza and get flat 40% off on all your Domino’s App orders."']
['"AW7r9mDEHMQ","Order now from the Pizza Mania range!","2020-11-19T11:17:49Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2020-11-19T11:17:49Z","[none]","17149","79","14","0","https://i.ytimg.com/vi/AW7r9mDEHMQ/default.jpg","False","False","Big or Small, we deliver all. Order your favourites from the Pizza Mania range with No Minimum Order Value. Enjoy Flat 40% OFF on your order, only on the Domino\'s App."']
['"9v1-Z5V8nLI","No Minimum Order Value on Domino’s Garlic Breadsticks.","2020-11-19T11:17:49Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2020-11-19T11:17:49Z","[none]","5305","48","7","0","https://i.ytimg.com/vi/9v1-Z5V8nLI/default.jpg","False","False","Just Garlic Breadsticks on your mind?Get your plates ready and order now from the Domino\'s App. Enjoy Flat 40% OFF with No Minimum Order Value on all your orders."']
['"mUwwcRY-Ibk","No Minimum Order Value on our all-new Pastas.","2020-11-19T11:17:49Z","UCUl-rHjymc7iLfpe_1dG9WA","Domino\'s Pizza India","24","2020-11-19T11:17:49Z","[none]","6068","33","9","0","https://i.ytimg.com/vi/mUwwcRY-Ibk/default.jpg","False","False","Craving a creamy, delicious bowl of Pasta?Order now on the Domino\'s app at No Minimum Order Value and enjoy Flat 40% OFF on your orders."']
