video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"neKIgmj32Mo","KFC\'s Valentines day offer!","2021-02-12T12:01:44Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-12T12:01:44Z","[none]","78118","43","0","3","https://i.ytimg.com/vi/neKIgmj32Mo/default.jpg","False","False","Enjoy KFC\'s You and Me specials with your special one! Order Now."']
['"dLsjjdxV-10","Aaj kuch special le jao! \'Cos there’s something for everyone!","2021-02-09T11:27:22Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-09T11:27:22Z","[none]","87300","25","2","0","https://i.ytimg.com/vi/dLsjjdxV-10/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"a77fU1_NNt4","Aaj kuch special le jao! \'Cos there’s something for everyone!","2021-02-09T11:25:50Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-09T11:25:50Z","[none]","93725","6","0","0","https://i.ytimg.com/vi/a77fU1_NNt4/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"LdtdfJBmee0","Aaj kuch special le jao! \'Cos there’s something for everyone!","2021-02-09T11:24:40Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-09T11:24:40Z","[none]","79473","13","1","0","https://i.ytimg.com/vi/LdtdfJBmee0/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"CLZ-me6zDxg","Aaj kuch special le jao! \'Cos there’s something for everyone!","2021-02-09T11:23:43Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-09T11:23:43Z","[none]","76349","6","2","0","https://i.ytimg.com/vi/CLZ-me6zDxg/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"neA2_XE0f8A","Aaj kuch special le jao! \'Cos there’s something for everyone!","2021-02-09T11:22:22Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-09T11:22:22Z","[none]","101547","12","1","0","https://i.ytimg.com/vi/neA2_XE0f8A/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"qPsJq6z95bs","Aaj kuch special le jao! \'Cos there’s something for everyone!","2021-02-05T11:55:43Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-05T11:55:43Z","[none]","2733432","60","3","0","https://i.ytimg.com/vi/qPsJq6z95bs/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"q3o7Dzjhdbw","KFC Sunday Specials","2021-02-04T11:15:26Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-04T11:15:26Z","[none]","263520","425","34","4","https://i.ytimg.com/vi/q3o7Dzjhdbw/default.jpg","False","False","Sunday ko special banao with\xa0KFC Aaj Ka Special!"']
['"YUR7bQ8XdjQ","KFC Wednesday","2021-02-02T16:32:11Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-02T16:32:11Z","[none]","1802","42","5","0","https://i.ytimg.com/vi/YUR7bQ8XdjQ/default.jpg","False","False","Just a friendly reminder to stay safe and leave your chicken cravings to us 🍗🍗🤤Order KFC Wednesday Bucket online or simply walk-in. Now open for delivery, takeaway and dine in."']
['"HtIkayQn4Wo","KFC Wednesday","2021-02-02T15:10:00Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-02-02T15:10:00Z","[none]","840","16","4","0","https://i.ytimg.com/vi/HtIkayQn4Wo/default.jpg","False","False","Just a friendly reminder to stay safe and leave your chicken cravings to us 🍗🍗🤤Order KFC Wednesday Bucket online or simply walk-in. Now open for delivery, takeaway and dine in."']
