video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"-ZPAcsoqRYc","Amongst Family: Overcoming Obstacles | McDonald’s","2021-02-11T17:15:37Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-11T17:15:37Z","McDonald’s|McDonald’s Owner|McDonald’s Operator|McDonald’s Owner Operator|Immigrant Archive Project|Immigrant|Entrepreneur|Community|Amongst Family|Entre Familia|Family business|Growing|Mentoring|Helping Others|Doing Good|Helping Family|McDonald’s Crew|Helping staff|Mexican|Chicago|Overcoming Obstacles|Disability|Giving Back|Ronald McDonald House Charities|RMHC|LatinX","3562","86","5","0","https://i.ytimg.com/vi/-ZPAcsoqRYc/default.jpg","True","False","Meet Phil Fuentes, McDonald’s Franchisee in Chicago. Find out how Phil’s positive outlook enabled him to overcome obstacles and provided the impetus to lift his community."']
['"D6T6qJw5ITo","Amongst Family: Seizing Opportunity | McDonald’s","2021-02-11T17:15:07Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-11T17:15:07Z","McDonald’s|McDonald’s Owner|McDonald’s Operator|McDonald’s Owner Operator|Immigrant Archive Project|Immigrant|Entrepreneur|Community|Amongst Family|Entre Familia|Family business|Growing|Mentoring|Helping Others|Doing Good|Helping Family|McDonald’s Crew|Helping staff|Mexican|St. Louis|Overcoming Obstacles|Disability|Giving Back|Ronald McDonald House Charities|RMHC|Family|LatinX","1936","30","2","0","https://i.ytimg.com/vi/D6T6qJw5ITo/default.jpg","True","False","Meet Nolan Ruiz, McDonald\'s Franchisee in Missouri. See how the life lessons imparted by his parents and grandparents lead him to embrace opportunities and in turn lift those around him."']
['"eAZwB7GTnOw","Amongst Family: Striving to Provide | McDonald’s","2021-02-11T17:14:57Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-11T17:14:57Z","McDonald’s|McDonald’s Owner|McDonald’s Operator|McDonald’s Owner Operator|Immigrant Archive Project|Immigrant|Entrepreneur|Community|Amongst Family|Entre Familia|immigrant|Family business|Growing|McDonald’s Crew|Helping staff|Cuban|Cuban family|mother|daughter|LatinX|Hard Work|Potluck|Passion|Legacy|Millennial|Young Entrepreneur","2402","31","3","0","https://i.ytimg.com/vi/eAZwB7GTnOw/default.jpg","True","False","Meet Marietta and Desiree Rodriguez, McDonald\'s Franchisees in Georgia. See how this mother/daughter duo embraces family traditions with their crewmembers while also providing guidance and mentorship."']
['"M1SFEe6eoEg","Ang “Wala Kasing Coke from McDonald’s sa Bahay” Deal sa  $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:05:01Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:05:01Z","mcdonalds soft drinks|mcdonalds dollar menu|mcdonalds coke|why does mcdonalds coke taste better|sodas at mcdonalds|mcdonalds dollar menu drinks|mcdonalds coca cola|mcdonalds drink menu|mcdonalds dollar drink menu","3795","27","4","0","https://i.ytimg.com/vi/M1SFEe6eoEg/default.jpg","True","False","Wala nang mas sasarap pa sa refreshing Coke sa McDonald\'s. $1 lang ang KAHIT ANONG size na soft drink sa McDonald\'s 123 Dollar Menu. I-download ang McDonald\'s app at bili na ng ice cold Coca Cola® sa McDonald\'s: https://www.mcdonalds.com/us/en-us/download-app.html"']
['"cTUQcbYtEHk","The Not Just Any Sprite Deal on the $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:04:58Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:04:58Z","mcdonalds soft drinks|mcdonalds dollar menu|mcdonalds sprite|why does mcdonalds sprite taste better|sodas at mcdonalds|mcdonalds dollar menu drinks|mcdonalds drink menu|mcdonalds dollar drink menu","3878","42","4","0","https://i.ytimg.com/vi/cTUQcbYtEHk/default.jpg","True","False","Nothing tastes better than a refreshing Sprite from McDonald\'s. Get ANY size soft drink for only $1 on the McDonald\'s $1 $2 $3 Dollar Menu. Download McDonald\'s app and grab an ice cold Sprite from McDonald\'s today: https://www.mcdonalds.com/us/en-us/download-app.html"']
['"N_LE-SKDda0","El No Puedes Comprar Una Fanta de McDonald\'s En Casa Deal en el $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:04:00Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:04:00Z","[none]","2220","19","3","0","https://i.ytimg.com/vi/N_LE-SKDda0/default.jpg","True","False",""']
['"yLtR4kYmWwU","“因為在家喝不到McDonald’s Coke”的優惠，就在$1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:03:54Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:03:54Z","mcdonalds 汽水|mcdonalds dollar menu|mcdonalds coke|為什麼mcdonalds coke 更好喝|mcdonalds dollar menu 飲料|mcdonalds coca cola|mcdonalds 飲料菜單|mcdonalds dollar drink menu","1596","12","5","0","https://i.ytimg.com/vi/yLtR4kYmWwU/default.jpg","True","False","令人暢快的McDonald\'s Coke比什麼都好喝。任何杯裝汽水只需一元, 就在McDonald\'s $1 $2 $3 Dollar Menu。今天就下載McDonald\'s app，點一杯冰爽的McDonald\'s Coca Cola®：https://www.mcdonalds.com/us/en-us/download-app.html"']
['"e6C6FrXwbRA","“因為在家喝不到McDonald’s Coke”的優惠，就在$1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:03:48Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:03:48Z","mcdonalds 汽水|mcdonalds dollar menu|mcdonalds coke|為什麼mcdonalds coke 更好喝|mcdonalds dollar menu 飲料|mcdonalds coca cola|mcdonalds 飲料菜單|mcdonalds dollar drink menu","1947","14","4","0","https://i.ytimg.com/vi/e6C6FrXwbRA/default.jpg","True","False","令人暢快的McDonald\'s Coke比什麼都好喝。任何杯裝汽水只需一元, 就在McDonald\'s $1 $2 $3 Dollar Menu。今天就下載McDonald\'s app，點一杯冰爽的McDonald\'s Coca Cola®：https://www.mcdonalds.com/us/en-us/download-app.html"']
['"k8yAsE50c3M","“집에는 없는 McDonald\'s Coke” 바로 그 딜이 있는 $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:03:45Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:03:45Z","mcdonalds 소프트 드링크|mcdonalds dollar menu|mcdonalds coke|mcdonalds coke은 왜 더 맛있나|mcdonalds의 소다|mcdonalds dollar menu 드링크|mcdonalds coca cola|mcdonalds 드링크 메뉴|mcdonalds dollar drink menu","2179","10","1","0","https://i.ytimg.com/vi/k8yAsE50c3M/default.jpg","True","False","McDonald’s의 상쾌한 Coke을 따라 올 맛은 없죠. McDonald\'s $1 $2 $3 Dollar Menu로 모든 사이즈 소프트 드링크를 단 $1에 즐기세요. McDonald\'s 앱을 다운로드받으시고, 오늘 McDonald’s에서 얼음처럼 시원한 Coca Cola®를 즐기세요: https://www.mcdonalds.com/us/en-us/download-app.html"']
['"uZ2vJ_8633M","The Really, Really, Really Refreshing Deal on The $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:03:01Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:03:01Z","mcdonald\'s $1 drinks|dollar menu at mcdonald\'s|dollar drinks mcdonald\'s|dollar drinks|dollar soft drinks|mcdonald\'s soft drinks|mcdonald\'s sodas|sodas at mcdonald\'s|mcdonald\'s soda drinks|dollar menu drinks","3605","30","4","0","https://i.ytimg.com/vi/uZ2vJ_8633M/default.jpg","True","False","Here\'s a refreshing deal: get ANY size McDonald\'s soft drink for only $1, on the McDonald\'s $1 $2 $3 Dollar Menu. Download McDonald\'s app and grab an ice cold Coca Cola® from McDonald\'s today: https://www.mcdonalds.com/us/en-us/download-app.html"']
